====== Run started 12-06-2026 15:52:32.64 ======
12-06-2026 15:52:43.25 | JournalVoucherType | DATABASE/TABLE | CM_SHARED_MASTER_COMPANIES | OK
12-06-2026 15:52:43.33 | JournalVoucherType | DATABASE/TABLE | FC_CHART_OF_ACCOUNTS | OK
12-06-2026 15:52:43.42 | JournalVoucherType | DATABASE/TABLE | FC_SUBLEDGER_TYPE | OK
12-06-2026 15:52:43.50 | JournalVoucherType | DATABASE/TABLE | NL_JOURNAL_VOUCHER | OK
12-06-2026 15:52:43.58 | JournalVoucherType | DATABASE/TABLE | PC_JOURNAL_VOUCHER_TYPE | OK
12-06-2026 15:52:43.66 | JournalVoucherType | DATABASE/TABLE | PC_JV_TYPE_ACCOUNT_LINK | OK
12-06-2026 15:52:43.73 | JournalVoucherType | DATABASE/TABLE | PC_JV_TYPE_COST_CODE_LINK | OK
12-06-2026 15:52:43.80 | JournalVoucherType | DATABASE/TABLE | PC_PROCESS_STEP_ADDL_CONF | OK
12-06-2026 15:52:43.88 | JournalVoucherType | DATABASE/TABLE | PC_XPEDEON_PARAMETERS | OK
12-06-2026 15:52:43.97 | JournalVoucherType | DATABASE/TABLE | SE_USER_COMPANY_RIGHTS | OK
12-06-2026 15:52:44.05 | JournalVoucherType | DATABASE/PROC | SPN_CM_GET_COST_CODE_FOR_USER | OK
12-06-2026 15:52:44.12 | JournalVoucherType | DATABASE/PROC | SPN_CM_GET_COST_HEAD_FOR_USER | OK
12-06-2026 15:52:44.19 | JournalVoucherType | DATABASE/PROC | SPN_FC_GET_COA_FOR_JRNL_VOUCHR | OK
12-06-2026 15:52:44.27 | JournalVoucherType | DATABASE/PROC | SPN_FC_GET_MEMO_COA_FOR_JV | OK
12-06-2026 15:52:44.34 | JournalVoucherType | DATABASE/PROC | SPN_PC_DEL_JV_COST_CODE_LINK | OK
12-06-2026 15:52:44.41 | JournalVoucherType | DATABASE/PROC | SPN_PC_DEL_JV_TYPE | OK
12-06-2026 15:52:44.48 | JournalVoucherType | DATABASE/PROC | SPN_PC_DEL_JV_TYPE_ACC_LINK | OK
12-06-2026 15:52:44.55 | JournalVoucherType | DATABASE/PROC | SPN_PC_GET_JV_TYPE | OK
12-06-2026 15:52:44.63 | JournalVoucherType | DATABASE/PROC | SPN_PC_GET_XPEDEON_PARAMETERS | OK
12-06-2026 15:52:44.70 | JournalVoucherType | DATABASE/PROC | SPN_PC_INS_JV_COST_CODE_LINK | OK
12-06-2026 15:52:44.77 | JournalVoucherType | DATABASE/PROC | SPN_PC_INS_JV_TYPE | OK
12-06-2026 15:52:44.85 | JournalVoucherType | DATABASE/PROC | SPN_PC_INS_JV_TYPE_ACC_LINK | OK
12-06-2026 15:52:44.93 | JournalVoucherType | DATABASE/PROC | SPN_PC_UPD_JV_TYPE | OK
12-06-2026 15:52:45.01 | JournalVoucherType | DATABASE/PROC | SPN_SE_GET_COMP_LIST_FOR_USER | OK
12-06-2026 15:52:45.10 | JournalVoucherType | BLL/BLL | bCostHeadAndCodes.cs | OK
12-06-2026 15:52:45.18 | JournalVoucherType | BLL/BLL | bFinancialList.cs | OK
12-06-2026 15:52:45.26 | JournalVoucherType | BLL/BLL | bJournalVoucherType.cs | OK
12-06-2026 15:52:45.35 | JournalVoucherType | BLL/BLL | bMasterList.cs | OK
12-06-2026 15:52:45.43 | JournalVoucherType | BLL/BLL | bSecurity.cs | OK
12-06-2026 15:52:45.51 | JournalVoucherType | DAL/DAL | sCostHeadAndCodes.cs | OK
12-06-2026 15:52:45.59 | JournalVoucherType | DAL/DAL | sFinancialList.cs | OK
12-06-2026 15:52:45.67 | JournalVoucherType | DAL/DAL | sJournalVoucherType.cs | OK
12-06-2026 15:52:45.75 | JournalVoucherType | DAL/DAL | sMasterList.cs | OK
12-06-2026 15:52:45.83 | JournalVoucherType | DAL/DAL | sSecurity.cs | OK
12-06-2026 15:52:45.92 | JournalVoucherType | UI/UI_FORM | xpJournalVoucherType.cs | OK
12-06-2026 15:52:46.01 | JournalVoucherType | UI/DESIGNER | xpJournalVoucherType.Designer.cs | OK
